"","Suburb","Rooms","Type","Method","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"16195","Craigieburn",3,"h","S",2017-06-24,20.6,"3064",3,1,2,263,133,2014,"Hume City Council",-37.80594,144.9826,"Northern Metropolitan",15510,460000
"16199","Craigieburn",3,"u","S",2017-06-24,20.6,"3064",3,1,2,263,133,2014,"Hume City Council",-37.80594,144.9826,"Northern Metropolitan",15510,390000
"16200","Croydon",5,"h","S",2017-06-24,23,"3136",5,2,2,522,169,2015,"Maroondah City Council",-37.7634,144.9237,"Eastern Metropolitan",11925,1711000
"16201","Croydon",3,"h","S",2017-06-24,23,"3136",3,1,2,973,119,1970,"Maroondah City Council",-37.78964,145.2829,"Eastern Metropolitan",11925,985500
"16202","Croydon",3,"h","VB",2017-06-24,23,"3136",3,2,2,815,177,1978,"Maroondah City Council",-37.7969,145.29274,"Eastern Metropolitan",11925,720000
"16203","Croydon",4,"h","VB",2017-06-24,23,"3136",4,3,2,907,170,1970,"Maroondah City Council",-37.79636,145.29351,"Eastern Metropolitan",11925,860000
"16205","Dallas",3,"h","S",2017-06-24,14,"3047",3,1,2,584,94,1950,"Hume City Council",-37.67159,144.94522,"Northern Metropolitan",2246,408500
"16206","Dallas",3,"h","S",2017-06-24,14,"3047",3,1,1,595,107,1990,"Hume City Council",-37.66648,144.93399,"Northern Metropolitan",2246,310000
"16207","Dandenong",3,"h","PI",2017-06-24,24.7,"3175",3,1,4,597,160,1960,"Greater Dandenong City Council",-37.98265,145.22696,"South-Eastern Metropolitan",10894,620000
"16210","Deer Park",4,"h","S",2017-06-24,14.8,"3023",4,2,2,709,216,1985,"Brimbank City Council",-37.76336,144.7725,"Western Metropolitan",6388,650000
"16211","Deer Park",2,"h","S",2017-06-24,14.8,"3023",2,1,1,321,81,1960,"Brimbank City Council",-37.8439,145.07139,"Western Metropolitan",6388,592000
"16212","Deer Park",3,"h","S",2017-06-24,14.8,"3023",3,1,2,693,100,1960,"Brimbank City Council",-37.77371,144.76919,"Western Metropolitan",6388,716000
"16213","Deer Park",3,"h","S",2017-06-24,14.8,"3023",3,1,2,586,110,1990,"Brimbank City Council",-37.7728,144.76941,"Western Metropolitan",6388,645000
"16214","Diamond Creek",3,"h","SP",2017-06-24,21.8,"3089",3,1,2,263,133,2014,"Nillumbik Shire Council",-37.7307,144.9704,"Northern Victoria",4258,588000
"16216","Dingley Village",3,"h","S",2017-06-24,22.2,"3172",3,2,2,542,134,1980,"Kingston City Council",-37.98536,145.13434,"South-Eastern Metropolitan",3940,840000
"16217","Dingley Village",3,"h","SP",2017-06-24,22.2,"3172",3,2,1,526,189,1980,"Kingston City Council",-37.98217,145.14061,"South-Eastern Metropolitan",3940,801000
"16218","Dingley Village",5,"h","S",2017-06-24,22.2,"3172",5,3,2,619,153,1975,"Kingston City Council",-37.97545,145.12054,"South-Eastern Metropolitan",3940,955000
"16220","Doncaster East",3,"u","S",2017-06-24,14.3,"3109",3,1,2,263,133,2014,"Manningham City Council",-37.80594,144.87998,"Eastern Metropolitan",10999,830000
"16221","Doncaster East",3,"h","SA",2017-06-24,14.3,"3109",3,2,2,348,150,2000,"Manningham City Council",-37.79759,145.16422,"Eastern Metropolitan",10999,1255000
"16222","Doncaster East",4,"h","S",2017-06-24,14.3,"3109",4,2,2,263,184,2015,"Manningham City Council",-37.89003,145.01856,"Eastern Metropolitan",10999,2000000
"16223","Doncaster East",3,"h","S",2017-06-24,14.3,"3109",3,1,2,696,102,1950,"Manningham City Council",-37.77973,145.16473,"Eastern Metropolitan",10999,1369000
"16225","Donvale",3,"h","S",2017-06-24,16.1,"3111",3,1,2,649,85,1960,"Manningham City Council",-37.80274,145.17952,"Eastern Metropolitan",4790,902000
"16229","East Melbourne",2,"u","S",2017-06-24,1.3,"3002",2,1,1,1489,78,1960,"Melbourne City Council",-37.81525,144.98678,"Northern Metropolitan",3040,885000
"16234","Eltham North",3,"h","S",2017-06-24,18,"3095",3,1,2,768,122,1985,"Banyule City Council",-37.69031,145.14557,"Eastern Metropolitan",2346,967500
"16235","Eltham North",4,"h","PI",2017-06-24,18,"3095",4,2,2,786,206,1980,"Banyule City Council",-37.70257,145.14995,"Eastern Metropolitan",2346,890000
"16236","Elwood",3,"h","VB",2017-06-24,7.2,"3184",3,2,2,188,185,2010,"Port Phillip City Council",-37.87818,144.98532,"Southern Metropolitan",8989,1800000
"16238","Essendon",2,"h","S",2017-06-24,7.5,"3040",2,1,2,470,136,1937,"Moonee Valley City Council",-37.75225,144.90462,"Western Metropolitan",9264,1200000
"16239","Essendon",2,"u","PI",2017-06-24,7.5,"3040",2,2,2,1523,110,2013,"Moonee Valley City Council",-37.74999,144.91447,"Western Metropolitan",9264,720000
"16240","Essendon",2,"u","VB",2017-06-24,7.5,"3040",2,1,1,0,67,1965,"Moonee Valley City Council",-37.75122,144.91805,"Western Metropolitan",9264,410000
"16241","Essendon",3,"u","S",2017-06-24,7.5,"3040",3,2,1,223,146,2002,"Moonee Valley City Council",-37.74566,144.89346,"Western Metropolitan",9264,930000
"16242","Essendon",2,"u","S",2017-06-24,7.5,"3040",2,1,1,132,99,2010,"Moonee Valley City Council",-37.75344,144.92616,"Western Metropolitan",9264,600000
"16243","Essendon",4,"h","VB",2017-06-24,7.5,"3040",4,2,2,263,169,2015,"Moonee Valley City Council",-37.75845,144.93448,"Western Metropolitan",9264,1360000
"16244","Essendon West",3,"h","S",2017-06-24,7.5,"3040",3,1,2,793,102,1960,"Moonee Valley City Council",-37.74944,144.88479,"Western Metropolitan",588,1390000
"16246","Fawkner",2,"h","S",2017-06-24,13.1,"3060",2,1,2,665,30,1960,"Hume City Council",-37.70673,144.97108,"Northern Metropolitan",5070,761000
"16247","Fawkner",3,"h","VB",2017-06-24,13.1,"3060",3,1,4,616,94,1960,"Hume City Council",-37.71245,144.97059,"Northern Metropolitan",5070,650000
"16248","Fitzroy",2,"u","VB",2017-06-24,2.1,"3065",2,1,1,470,65,2007,"Yarra City Council",-37.79723,144.97686,"Northern Metropolitan",5825,700000
"16250","Fitzroy North",2,"h","SP",2017-06-24,3.6,"3068",2,1,0,153,76.77,1900,"Moreland City Council",-37.78327,144.9791,"Northern Metropolitan",6244,1275000
"16251","Fitzroy North",2,"h","S",2017-06-24,3.6,"3068",2,1,1,185,90,1915,"Moreland City Council",-37.7907,144.98163,"Northern Metropolitan",6244,1680000
"16252","Flemington",4,"h","SP",2017-06-24,3.4,"3031",4,2,1,302,200,1928,"Melbourne City Council",-37.7845,144.93582,"Northern Metropolitan",3593,1340000
"16253","Footscray",3,"h","PI",2017-06-24,5.1,"3011",3,1,2,263,133,2014,"Maribyrnong City Council",-37.79003,144.9826,"Western Metropolitan",7570,901000
"16254","Footscray",3,"t","SP",2017-06-24,5.1,"3011",3,1,2,263,133,2014,"Maribyrnong City Council",-37.79003,145.0451,"Western Metropolitan",7570,849500
"16256","Forest Hill",3,"h","S",2017-06-24,15.4,"3131",3,1,2,263,133,2014,"Whitehorse City Council",-37.7647,145.01841,"Eastern Metropolitan",4385,1071500
"16257","Forest Hill",3,"h","VB",2017-06-24,15.4,"3131",3,1,2,617,119,1960,"Whitehorse City Council",-37.8318,145.17368,"Eastern Metropolitan",4385,800000
"16260","Frankston",3,"h","S",2017-06-24,38,"3199",3,2,2,571,154,1980,"Frankston City Council",-38.14444,145.16788,"South-Eastern Metropolitan",17055,545000
"16261","Frankston",3,"h","S",2017-06-24,38,"3199",3,1,2,537,118.54,1960,"Frankston City Council",-38.14264,145.14684,"South-Eastern Metropolitan",17055,570000
"16262","Frankston",5,"h","S",2017-06-24,38,"3199",5,2,1,1424,173,1960,"Frankston City Council",-38.13442,145.13548,"South-Eastern Metropolitan",17055,715000
"16263","Frankston",3,"h","S",2017-06-24,38,"3199",3,1,2,263,133,2014,"Frankston City Council",-37.7307,144.9704,"South-Eastern Metropolitan",17055,630000
"16264","Frankston",3,"h","S",2017-06-24,38,"3199",3,1,2,263,133,2014,"Frankston City Council",-37.79003,144.9826,"South-Eastern Metropolitan",17055,700500
"16265","Frankston",4,"h","VB",2017-06-24,38,"3199",4,2,2,263,169,2015,"Frankston City Council",-37.81185,145.14048,"South-Eastern Metropolitan",17055,1700000
"16266","Frankston South",3,"h","S",2017-06-24,38,"3199",3,2,3,4780,100,1970,"Frankston City Council",-38.18255,145.11986,"South-Eastern Metropolitan",7566,860000
"16268","Gladstone Park",3,"h","SP",2017-06-24,12.9,"3043",3,1,2,618,94,1950,"Hume City Council",-37.6953,144.89837,"Western Metropolitan",3285,653000
"16270","Glen Iris",5,"h","S",2017-06-24,7.3,"3146",5,2,3,858,168,1925,"Boroondara City Council",-37.85636,145.06405,"Southern Metropolitan",10412,2862000
"16271","Glen Iris",5,"h","SP",2017-06-24,7.3,"3146",5,3,2,595,221,1930,"Boroondara City Council",-37.85775,145.07196,"Southern Metropolitan",10412,2180000
"16273","Glen Iris",3,"t","S",2017-06-24,7.3,"3146",3,2,2,364,20,1994,"Boroondara City Council",-37.84897,145.06804,"Southern Metropolitan",10412,1610000
"16274","Glen Iris",4,"h","S",2017-06-24,7.3,"3146",4,3,2,910,225.98,2010,"Boroondara City Council",-37.86194,145.07256,"Southern Metropolitan",10412,2450000
"16275","Glen Iris",4,"h","PI",2017-06-24,7.3,"3146",4,2,2,263,169,2015,"Boroondara City Council",-37.8101,144.99337,"Southern Metropolitan",10412,2210000
"16276","Glen Iris",4,"h","VB",2017-06-24,7.3,"3146",4,1,2,1110,323,1920,"Boroondara City Council",-37.85723,145.0547,"Southern Metropolitan",10412,2250000
"16277","Glen Iris",4,"h","S",2017-06-24,7.3,"3146",4,2,2,263,169,2015,"Boroondara City Council",-37.8101,144.99337,"Southern Metropolitan",10412,2155000
"16281","Glen Waverley",4,"h","S",2017-06-24,16.7,"3150",4,2,2,263,169,2015,"Monash City Council",-37.75474,144.93448,"Eastern Metropolitan",15321,1420000
"16284","Glen Waverley",3,"h","S",2017-06-24,16.7,"3150",3,1,2,263,133,2014,"Monash City Council",-37.87735,145.04636,"Eastern Metropolitan",15321,1495000
"16287","Glen Waverley",3,"t","S",2017-06-24,16.7,"3150",3,1,2,263,133,2014,"Monash City Council",-37.7647,145.01841,"Eastern Metropolitan",15321,1125000
"16288","Glen Waverley",4,"h","S",2017-06-24,16.7,"3150",4,2,2,263,169,2015,"Monash City Council",-37.716,144.9663,"Eastern Metropolitan",15321,995000
"16291","Glenroy",4,"h","SP",2017-06-24,11.2,"3046",4,2,2,1017,237,2000,"Moreland City Council",-37.70705,144.91011,"Northern Metropolitan",8870,1100000
"16293","Glenroy",3,"t","S",2017-06-24,11.2,"3046",3,1,2,263,133,2014,"Moreland City Council",-37.7307,144.9163,"Northern Metropolitan",8870,695000
"16294","Glenroy",3,"h","S",2017-06-24,11.2,"3046",3,1,2,197,96,2003,"Moreland City Council",-37.70489,144.91033,"Northern Metropolitan",8870,512000
"16295","Gowanbrae",4,"h","VB",2017-06-24,12.9,"3043",4,2,2,620,194,2000,"Moreland City Council",-37.70377,144.90217,"Western Metropolitan",1071,820000
"16296","Greensborough",5,"h","VB",2017-06-24,16.1,"3088",5,3,3,616,210,1960,"Banyule City Council",-37.70557,145.10859,"Northern Metropolitan",8524,1050000
"16297","Greensborough",3,"h","S",2017-06-24,16.1,"3088",3,1,2,1020,85,1920,"Banyule City Council",-37.70821,145.10405,"Northern Metropolitan",8524,1326000
"16298","Greensborough",3,"h","S",2017-06-24,16.1,"3088",3,2,2,1036,132,1954,"Banyule City Council",-37.69538,145.11543,"Northern Metropolitan",8524,895000
"16299","Greensborough",3,"h","S",2017-06-24,16.1,"3088",3,2,2,563,173,1970,"Banyule City Council",-37.68995,145.09399,"Northern Metropolitan",8524,730000
"16300","Greensborough",5,"h","VB",2017-06-24,16.1,"3088",4,3,2,789,290,1980,"Banyule City Council",-37.69817,145.12852,"Northern Metropolitan",8524,880000
"16301","Greensborough",4,"h","SP",2017-06-24,16.1,"3088",4,2,2,1070,190,1980,"Banyule City Council",-37.69999,145.1279,"Northern Metropolitan",8524,925000
"16302","Greenvale",3,"h","PI",2017-06-24,20.4,"3059",3,2,2,775,149,1970,"Hume City Council",-37.64385,144.89221,"Northern Metropolitan",4864,770000
"16303","Greenvale",4,"h","S",2017-06-24,20.4,"3059",4,2,2,680,230,2011,"Hume City Council",-37.61236,144.90753,"Northern Metropolitan",4864,715000
"16304","Greenvale",4,"h","S",2017-06-24,20.4,"3059",4,2,2,494,298.21,2014,"Hume City Council",-37.61424,144.88705,"Northern Metropolitan",4864,840500
"16305","Greenvale",4,"h","SP",2017-06-24,20.4,"3059",4,2,3,990,350,1970,"Hume City Council",-37.6579,144.90523,"Northern Metropolitan",4864,810000
"16306","Hampton",4,"h","S",2017-06-24,13.8,"3188",4,2,3,633,163,1950,"Bayside City Council",-37.94039,145.02234,"Southern Metropolitan",5454,1600000
"16307","Hampton",3,"h","VB",2017-06-24,13.8,"3188",3,1,2,400,158,1930,"Bayside City Council",-37.93434,145.00816,"Southern Metropolitan",5454,1325000
"16308","Hampton",4,"h","S",2017-06-24,13.8,"3188",4,2,2,743,274,2010,"Bayside City Council",-37.94176,145.00931,"Southern Metropolitan",5454,3150000
"16309","Hampton",2,"t","S",2017-06-24,13.8,"3188",2,1,1,348,100,1992,"Bayside City Council",-37.93557,145.00463,"Southern Metropolitan",5454,1285000
"16310","Hampton",2,"u","SP",2017-06-24,13.8,"3188",2,1,0,0,81,2007,"Bayside City Council",-37.9392,145.00095,"Southern Metropolitan",5454,685000
"16311","Hampton",2,"u","S",2017-06-24,13.8,"3188",2,1,1,128,75,1967,"Bayside City Council",-37.9395,145.01344,"Southern Metropolitan",5454,878000
"16312","Hampton East",3,"u","S",2017-06-24,13.8,"3188",3,2,2,254,113,1994,"Bayside City Council",-37.94313,145.03501,"Southern Metropolitan",2356,957000
"16313","Hampton East",4,"h","SP",2017-06-24,13.8,"3188",4,2,1,321,156,2015,"Bayside City Council",-37.73344,145.016,"Southern Metropolitan",2356,1200000
"16315","Hawthorn",3,"u","S",2017-06-24,5.3,"3122",3,1,2,263,133,2014,"Boroondara City Council",-37.80594,145.0451,"Southern Metropolitan",11308,862000
"16316","Hawthorn",3,"t","S",2017-06-24,5.3,"3122",3,2,2,159,155,2000,"Boroondara City Council",-37.83179,145.04293,"Southern Metropolitan",11308,1236000
"16318","Hawthorn",3,"h","PI",2017-06-24,5.3,"3122",3,2,0,234,158,1920,"Boroondara City Council",-37.82839,145.04086,"Southern Metropolitan",11308,1750000
"16320","Hawthorn",4,"h","PI",2017-06-24,5.3,"3122",4,3,3,451,249,1970,"Boroondara City Council",-37.81633,145.02833,"Southern Metropolitan",11308,2010000
"16321","Hawthorn",3,"h","S",2017-06-24,5.3,"3122",3,2,1,362,188,1890,"Boroondara City Council",-37.82866,145.04259,"Southern Metropolitan",11308,2370000
"16323","Hawthorn",2,"h","S",2017-06-24,5.3,"3122",0,0,0,241,100,1900,"Boroondara City Council",-37.82679,145.03021,"Southern Metropolitan",11308,1480000
"16324","Hawthorn",2,"h","S",2017-06-24,5.3,"3122",2,1,1,264,97,1910,"Boroondara City Council",-37.8285,145.04022,"Southern Metropolitan",11308,1682000
"16331","Heidelberg",4,"u","S",2017-06-24,8.9,"3084",4,2,2,419,145,1965,"Banyule City Council",-37.7537,145.06341,"Eastern Metropolitan",2890,915000
"16332","Heidelberg",3,"t","S",2017-06-24,8.9,"3084",3,2,2,137,123,2000,"Banyule City Council",-37.74888,145.06593,"Eastern Metropolitan",2890,781000
"16335","Heidelberg West",2,"h","SP",2017-06-24,8.8,"3081",2,1,3,671,83,1950,"Banyule City Council",-37.73902,145.04529,"Eastern Metropolitan",2674,875000
"16337","Highett",4,"h","VB",2017-06-24,16,"3190",4,2,2,604,294,1955,"Bayside City Council",-37.94783,145.03983,"Southern Metropolitan",4794,1300000
"16338","Highett",2,"u","S",2017-06-24,16,"3190",2,1,1,321,81,1960,"Bayside City Council",-37.8439,145.0589,"Southern Metropolitan",4794,595000
"16339","Highett",4,"h","S",2017-06-24,16,"3190",4,2,1,590,110,1950,"Bayside City Council",-37.94549,145.03332,"Southern Metropolitan",4794,1430000
"16340","Hillside",3,"h","S",2017-06-24,18,"3037",3,2,2,666,193,2002,"Brimbank City Council",-37.68381,144.73331,"Western Metropolitan",5556,660000
"16341","Hillside",3,"h","PI",2017-06-24,18,"3037",3,2,1,320,148,2004,"Brimbank City Council",-37.70338,144.74854,"Western Metropolitan",5556,480000
"16343","Hughesdale",5,"h","S",2017-06-24,12.3,"3166",4,2,2,522,169,2015,"Monash City Council",-37.7907,144.8746,"Southern Metropolitan",3145,965000
"16344","Ivanhoe",4,"h","S",2017-06-24,7.8,"3079",4,2,2,778,278,1985,"Banyule City Council",-37.76356,145.04135,"Eastern Metropolitan",5549,2380000
"16345","Ivanhoe",3,"h","S",2017-06-24,7.8,"3079",3,1,2,585,85,1960,"Banyule City Council",-37.75725,145.03744,"Eastern Metropolitan",5549,1035000
"16346","Ivanhoe",3,"t","SP",2017-06-24,7.8,"3079",3,2,1,103,120,1997,"Banyule City Council",-37.76676,145.04333,"Eastern Metropolitan",5549,975000
"16348","Jacana",3,"h","S",2017-06-24,14,"3047",3,1,1,627,107,1960,"Hume City Council",-37.68861,144.91065,"Northern Metropolitan",851,556000
"16349","Keilor",3,"h","SP",2017-06-24,14.5,"3036",3,1,2,722,18,1970,"Brimbank City Council",-37.72302,144.83434,"Western Metropolitan",2339,875000
"16350","Keilor Downs",4,"h","S",2017-06-24,15.5,"3038",4,2,2,713,164,1982,"Brimbank City Council",-37.72305,144.81074,"Western Metropolitan",3656,670000
"16351","Keilor Downs",4,"h","S",2017-06-24,15.5,"3038",4,2,2,263,169,2015,"Brimbank City Council",-37.60402,144.92138,"Western Metropolitan",3656,715000
"16352","Keilor Downs",4,"h","S",2017-06-24,15.5,"3038",4,2,2,263,169,2015,"Brimbank City Council",-37.60402,145.04084,"Western Metropolitan",3656,670100
"16353","Keilor Downs",4,"h","PI",2017-06-24,15.5,"3038",4,2,2,263,169,2015,"Brimbank City Council",-37.60402,145.0134,"Western Metropolitan",3656,700000
"16354","Keilor Downs",3,"h","SP",2017-06-24,15.5,"3038",3,1,1,307,107,1990,"Brimbank City Council",-37.72545,144.80397,"Western Metropolitan",3656,575000
"16355","Keilor East",4,"h","S",2017-06-24,11.7,"3033",4,2,2,263,169,2015,"Brimbank City Council",-37.8101,144.93448,"Western Metropolitan",5629,1703000
"16356","Kensington",3,"h","S",2017-06-24,3.4,"3031",3,1,2,340,25,1960,"Melbourne City Council",-37.79436,144.92158,"Northern Metropolitan",5263,1250000
"16357","Kensington",1,"u","SP",2017-06-24,3.4,"3031",1,1,1,2592,62,1998,"Melbourne City Council",-37.79609,144.92608,"Northern Metropolitan",5263,395000
"16358","Kensington",2,"h","S",2017-06-24,3.4,"3031",2,1,0,107,9,1910,"Melbourne City Council",-37.79025,144.92798,"Northern Metropolitan",5263,840500
"16359","Kensington",2,"u","S",2017-06-24,3.4,"3031",2,2,2,0,74,2015,"Melbourne City Council",-37.8379,144.9966,"Northern Metropolitan",5263,876000
"16360","Kew",3,"h","S",2017-06-24,5.4,"3101",3,1,4,482,130,1963,"Boroondara City Council",-37.80119,145.0511,"Southern Metropolitan",10331,1995000
"16362","Kew",4,"h","VB",2017-06-24,5.4,"3101",4,2,2,263,169,2015,"Boroondara City Council",-37.89003,145.0753,"Southern Metropolitan",10331,1800000
"16363","Kew",2,"u","S",2017-06-24,5.4,"3101",2,1,1,847,78,1960,"Boroondara City Council",-37.80798,145.02347,"Southern Metropolitan",10331,600000
"16364","Kew",2,"u","S",2017-06-24,5.4,"3101",2,1,2,964,88,1960,"Boroondara City Council",-37.80222,145.03501,"Southern Metropolitan",10331,797000
"16365","Kew",3,"h","S",2017-06-24,5.4,"3101",3,1,3,784,136,1910,"Boroondara City Council",-37.80978,145.02185,"Southern Metropolitan",10331,3001000
"16366","Keysborough",3,"h","PI",2017-06-24,25.2,"3173",3,2,2,552,134,1980,"Greater Dandenong City Council",-37.99013,145.17912,"South-Eastern Metropolitan",8459,752000
"16367","Kilsyth",3,"h","S",2017-06-24,26,"3137",3,1,1,548,120,1950,"Maroondah City Council",-37.80622,145.31331,"Eastern Metropolitan",4654,685000
"16369","Kooyong",2,"u","VB",2017-06-24,5.9,"3144",2,1,1,321,81,1957,"Stonnington City Council",-37.8355,145.0718,"Southern Metropolitan",394,670000
"16370","Lalor",3,"h","S",2017-06-24,16.3,"3075",3,1,4,670,136,1980,"Whittlesea City Council",-37.67328,145.02918,"Northern Metropolitan",8279,705500
"16371","Lalor",2,"h","S",2017-06-24,16.3,"3075",2,1,2,766,85,1950,"Whittlesea City Council",-37.66986,145.02048,"Northern Metropolitan",8279,685000
"16372","Lalor",3,"h","S",2017-06-24,16.3,"3075",3,1,1,364,165,1985,"Whittlesea City Council",-37.67122,145.01487,"Northern Metropolitan",8279,560000
"16373","Lalor",2,"h","SP",2017-06-24,16.3,"3075",2,1,2,416,93,1960,"Whittlesea City Council",-37.67096,145.02445,"Northern Metropolitan",8279,511500
"16374","Lalor",2,"u","S",2017-06-24,16.3,"3075",2,1,1,321,81,1970,"Whittlesea City Council",-37.7826,144.9209,"Northern Metropolitan",8279,360000
"16375","Lalor",2,"h","S",2017-06-24,16.3,"3075",2,1,1,321,81,1965,"Whittlesea City Council",-37.8454,145.0971,"Northern Metropolitan",8279,645000
"16377","MacLeod",3,"h","S",2017-06-24,12.7,"3085",3,1,2,263,133,2014,"Banyule City Council",-37.79003,144.9826,"Northern Metropolitan",4168,701000
"16378","Maidstone",3,"t","S",2017-06-24,6.4,"3012",3,2,2,209,16,2009,"Maribyrnong City Council",-37.78707,144.87608,"Western Metropolitan",3873,810000
"16379","Malvern",3,"t","PI",2017-06-24,5.9,"3144",3,1,2,263,133,2014,"Stonnington City Council",-37.7307,144.92717,"Southern Metropolitan",4675,1000000
"16384","Malvern East",3,"h","S",2017-06-24,8.4,"3145",3,2,2,161,31,1965,"Stonnington City Council",-37.86779,145.04482,"Southern Metropolitan",8801,1275000
"16386","Malvern East",3,"h","SP",2017-06-24,8.4,"3145",3,1,2,706,132,1930,"Stonnington City Council",-37.88066,145.06605,"Southern Metropolitan",8801,1690000
"16388","Malvern East",4,"h","S",2017-06-24,8.4,"3145",4,3,2,552,355,2015,"Stonnington City Council",-37.87421,145.04958,"Southern Metropolitan",8801,3600000
"16390","Maribyrnong",3,"t","S",2017-06-24,4.3,"3032",3,2,2,198,130,1990,"Maribyrnong City Council",-37.78667,144.88834,"Western Metropolitan",4918,815000
"16391","Maribyrnong",2,"h","VB",2017-06-24,4.3,"3032",2,1,1,575,85,1995,"Maribyrnong City Council",-37.78446,144.88781,"Western Metropolitan",4918,920000
"16392","McKinnon",3,"t","S",2017-06-24,11.4,"3204",3,1,2,263,133,2014,"Glen Eira City Council",-37.85005,145.15652,"Southern Metropolitan",2397,1140000
"16393","McKinnon",2,"h","S",2017-06-24,11.4,"3204",2,1,2,595,92,1970,"Glen Eira City Council",-37.9131,145.03471,"Southern Metropolitan",2397,1172500
"16394","McKinnon",3,"h","S",2017-06-24,11.4,"3204",3,1,2,263,133,2014,"Glen Eira City Council",-37.87735,145.04636,"Southern Metropolitan",2397,1473000
"16395","Meadow Heights",3,"h","S",2017-06-24,17.4,"3048",3,1,1,565,98,1975,"Hume City Council",-37.65702,144.92447,"Northern Metropolitan",4704,467000
"16396","Melton",4,"h","S",2017-06-24,31.7,"3337",4,2,2,590,163,1970,"Melton City Council",-37.67815,144.58355,"Western Victoria",3600,405000
"16397","Melton South",3,"h","S",2017-06-24,29.8,"3338",3,2,2,599,177,2010,"Melton City Council",-37.69575,144.57894,"Western Victoria",4718,420000
"16399","Melton South",3,"h","S",2017-06-24,29.8,"3338",3,1,2,615,103,1980,"Melton City Council",-37.7024,144.57153,"Western Victoria",4718,465000
"16400","Mernda",3,"h","S",2017-06-24,25.9,"3754",3,1,2,263,133,2014,"Whittlesea City Council",-37.7098,144.9826,"Northern Metropolitan",5812,440000
"16401","Middle Park",3,"u","PI",2017-06-24,3,"3206",3,1,2,263,133,2014,"Port Phillip City Council",-37.8102,145.0451,"Southern Metropolitan",2019,1210000
"16403","Mill Park",4,"h","S",2017-06-24,17.9,"3082",4,2,2,628,172,2000,"Whittlesea City Council",-37.67647,145.06452,"Northern Metropolitan",10529,625000
"16404","Mill Park",2,"h","S",2017-06-24,17.9,"3082",2,1,1,389,104,2005,"Whittlesea City Council",-37.65623,145.07431,"Northern Metropolitan",10529,428000
"16405","Mill Park",4,"h","S",2017-06-24,17.9,"3082",4,2,2,263,169,2015,"Whittlesea City Council",-37.6127,145.0291,"Northern Metropolitan",10529,745000
"16406","Mill Park",3,"h","S",2017-06-24,17.9,"3082",3,1,2,263,133,2014,"Whittlesea City Council",-37.7098,144.97239,"Northern Metropolitan",10529,600000
"16407","Mill Park",4,"h","S",2017-06-24,17.9,"3082",4,2,2,643,169.5,2001,"Whittlesea City Council",-37.65959,145.08302,"Northern Metropolitan",10529,722500
"16408","Mill Park",2,"h","S",2017-06-24,17.9,"3082",2,1,1,257,83,1985,"Whittlesea City Council",-37.65636,145.03997,"Northern Metropolitan",10529,421000
"16409","Mill Park",3,"h","S",2017-06-24,17.9,"3082",3,1,2,263,133,2014,"Whittlesea City Council",-37.7307,144.9704,"Northern Metropolitan",10529,614000
"16410","Mitcham",2,"h","S",2017-06-24,17.2,"3132",2,2,1,370,370,2000,"Whitehorse City Council",-37.82047,145.19421,"Eastern Metropolitan",6871,890000
"16412","Mitcham",4,"h","VB",2017-06-24,17.2,"3132",4,2,2,263,169,2015,"Whitehorse City Council",-37.8101,145.04323,"Eastern Metropolitan",6871,1720000
"16413","Mitcham",3,"h","VB",2017-06-24,17.2,"3132",3,1,0,781,114,1960,"Whitehorse City Council",-37.8105,145.20106,"Eastern Metropolitan",6871,960000
"16415","Montmorency",3,"h","S",2017-06-24,16.2,"3094",3,1,2,848,25,1960,"Banyule City Council",-37.71287,145.132,"Eastern Metropolitan",3891,755000
"16416","Moonee Ponds",1,"u","PI",2017-06-24,6.2,"3039",1,1,1,114,42.2,1970,"Moonee Valley City Council",-37.76911,144.92472,"Western Metropolitan",6232,286000
"16418","Moonee Ponds",3,"h","S",2017-06-24,6.2,"3039",3,1,1,449,120,1920,"Moonee Valley City Council",-37.77106,144.91162,"Western Metropolitan",6232,1375000
"16419","Moonee Ponds",3,"t","PI",2017-06-24,6.2,"3039",3,1,2,263,133,2014,"Moonee Valley City Council",-37.7647,145.05812,"Western Metropolitan",6232,1050000
"16420","Moorabbin",3,"h","S",2017-06-24,14.3,"3189",3,2,4,867,167,1970,"Kingston City Council",-37.94107,145.04217,"Southern Metropolitan",2555,1401500
"16422","Mordialloc",4,"h","S",2017-06-24,21.5,"3195",4,2,2,413,170,1975,"Kingston City Council",-37.99906,145.09386,"South-Eastern Metropolitan",3650,920000
"16423","Mordialloc",2,"h","S",2017-06-24,21.5,"3195",2,1,1,709,92,1950,"Kingston City Council",-38.00051,145.09315,"South-Eastern Metropolitan",3650,1110000
"16424","Mount Evelyn",3,"h","VB",2017-06-24,31.6,"3796",3,1,4,2385,127,1930,"Yarra Ranges Shire Council",-37.79977,145.37222,"Eastern Victoria",3532,620000
"16425","Mount Waverley",3,"h","VB",2017-06-24,14.2,"3149",3,1,4,807,117,1196,"Monash City Council",-37.86788,145.12121,"Eastern Metropolitan",13366,1200000
"16426","Mount Waverley",4,"h","S",2017-06-24,14.2,"3149",4,2,4,691,232,1960,"Monash City Council",-37.86827,145.1452,"Eastern Metropolitan",13366,1387000
